year,location,population,city,c_nofarm,village,v_nofarm,farmer,nofarm
1949,A,127720,5962,2354,121758,247,125119,2601
1949,B1,188433,77475,30419,110958,341,157673,30760
1949,B2,55000,3540,2240,51460,160,52600,2400
1949,B3,60948,1450,575,59498,181,60192,756
1949,C1,73494,10419,10419,63075,0,63075,10419
1949,C2,47866,7180,5385,40686,3692,38789,9077
1949,C3,59851,3466,1004,56385,462,58385,1466
1949,D1,87339,14975,4701,72364,522,82116,5223
1949,D2,78129,2842,2188,75287,579,75362,2767
1953,A,164518,8887,4716,155631,559,159243,5275
1953,B1,99841,99841,42126,0,0,57715,42126
1953,B2,69759,3300,2230,66459,859,66670,3089
1953,B3,67842,1890,720,65952,723,66399,1443
1953,C1,88624,14291,10842,74333,2123,75659,12965
1953,C2,62756,9413,7060,53343,3142,52554,10202
1953,C3,75232,5584,2234,69648,3350,69648,5584
1953,D1,105641,16922,5670,88719,6300,93671,11970
1953,D2,91171,4329,3334,86842,1466,86371,4800
1958,A,220670,36038,30196,184632,820,189654,31016
1958,B1,148237,148237,83852,0,0,64385,83852
1958,B2,81971,3962,2844,78009,1309,77818,4153
1958,B3,96125,2875,1755,93250,6923,87447,8678
1958,C1,115189,17492,13075,97697,2199,99915,15274
1958,C2,74702,10530,7365,64172,2500,64837,9865
1958,C3,114878,29755,25750,85123,4005,85123,29755
1958,D1,132403,22228,9454,110175,1050,121899,10504
1958,D2,111175,6687,4797,104488,1953,104425,6750
1964,A,263449,119262,73434,144187,19103,170912,92537
1964,B1,203072,203072,125108,0,0,77964,125108
1964,B2,84723,0,0,84723,4416,80307,4416
1964,B3,85444,0,0,85444,2496,82948,2496
1964,C1,110430,21957,18897,88473,357,91176,19254
1964,C2,81924,5316,3317,76608,3832,74775,7149
1964,C3,106037,14363,11073,91674,4337,90627,15410
1964,D1,147245,18558,9363,128687,8283,129599,17646
1964,D2,117867,3862,3059,114005,1867,112941,4926
1970,A,390242,206810,138785,183432,18539,232918,157324
1970,B1,259469,259469,158932,0,0,100537,158932
1970,B2,107986,0,0,107986,4091,103895,4091
1970,B3,121422,0,0,121422,4337,117085,4337
1970,C1,147571,24374,24278,123197,3072,120221,27350
1970,C2,111824,7336,5274,104488,7817,98733,13091
1970,C3,131088,15356,11792,115732,5046,114250,16838
1970,D1,189104,9446,4251,179658,19118,165735,23369
1970,D2,134806,5636,4150,129170,929,129727,5079
1976,A,477786,233732,145663,244054,40855,291268,186518
1976,B1,308446,308446,188666,0,0,119780,188666
1976,B2,137178,0,0,137178,8337,128841,8337
1976,B3,146210,0,0,146210,10227,135983,10227
1976,C1,185400,30084,29901,155316,7156,148343,37057
1976,C2,149556,11887,9379,137669,13814,126363,23193
1976,C3,164609,19284,17152,145325,6366,141091,23518
1976,D1,225932,26331,15821,199601,10140,199971,25961
1976,D2,158346,5870,5870,152476,3744,148732,9614
1983,A,562691,328338,223211,234353,16543,322937,239754
1983,B1,371250,371250,243012,0,0,128238,243012
1983,B2,156504,11921,10391,144583,3836,142277,14227
1983,B3,159953,13294,13161,146659,1815,144977,14976
1983,C1,217704,217704,46009,0,0,171695,46009
1983,C2,186287,15818,13311,170469,21888,151088,35199
1983,C3,188362,39225,27728,149137,1465,159169,29193
1983,D1,251329,36081,22662,215248,10033,218634,32695
1983,D2,180778,14793,14564,165985,665,165549,15229
1990,A,613753,386166,,227587,,301921,311832
1990,B1,480184,480184,,0,,123532,356652
1990,B2,168325,43364,,124961,,147448,20877
1990,B3,166423,92188,,74235,,17960,148463
1990,C1,257959,257959,,0,,188856,69103
1990,C2,219588,92007,,127581,,161694,57894
1990,C3,215247,215247,,0,,166530,48717
1990,D1,289527,14213,,275314,,243780,45747
1990,D2,205960,54735,,151225,,178085,27875
1995,A,660416,,,,,,
1995,B1,544851,,,,,,
1995,B2,177132,,,,,,
1995,B3,171808,,,,,,
1995,C1,285136,285136,,,,,
1995,C2,241483,,,,,,
1995,C3,232398,232398,,,,,
1995,D1,312734,,,,,,
1995,D2,219796,,,,,,
2000,A,691677,,,,,,
2000,B1,641723,,,,,,
2000,B2,185213,,,,,,
2000,B3,182500,,,,,,
2000,C1,306379,306379,,,,,
2000,C2,246859,,,,,,
2000,C3,245021,245021,,,,,
2000,D1,242082,,,,,,
2000,D2,151918,,,,,,
2005,A,732266,,,,,,
2005,B1,800641,,,,,,
2005,B2,207069,,,,,,
2005,B3,181822,,,,,,
2005,C1,356447,356447,,,,,
2005,C2,315792,,,,,,
2005,C3,260664,260664,,,,,
2005,D1,298782,,,,,,
2005,D2,206273,,,,,,
2010,A,727005,,,,,,
2010,B1,1299129,,,,,,
2010,B2,218719,,,,,,
2010,B3,224062,,,,,,
2010,C1,380278,380278,,,,,
2010,C2,410421,,,,,,
2010,C3,265235,265235,,,,,
2010,D1,524924,,,,,,
2010,D2,346987,,,,,,
2015,A,788009,,,,,,
2015,B1,1388572,,,,,,
2015,B2,234398,,,,,,
2015,B3,253329,,,,,,
2015,C1,404667,404667,,,,,
2015,C2,287820,,,,,,
2015,C3,291791,291791,,,,,
2015,D1,403151,,,,,,
2015,D2,341549,,,,,,
